,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
122,Anderson Carvalho Santa Clara,31, M(C),,24(5),1995,2.9,1.3,1.8,-,1.4,1.3,0.5,-,6.75
123,Vítor Tormena Braga,25, D(CR),,20(5),1913,0.6,1.2,1.2,0.5,2.3,0.2,0.5,-,6.74
124,Brian Araújo Gil Vicente,21, Goalkeeper,,1,90,-,-,-,-,1.0,-,-,-,6.74
125,Danilo Pereira Porto,30, D(C),DMC,3,270,0.7,0.3,1.7,-,0.3,0.3,-,-,6.74
126,André Amaro Vitoria de Guimaraes,19, D(C),,10(2),871,1.3,1.2,1.3,0.3,3.9,0.4,0.5,-,6.74
127,Gian-Luca Waldschmidt Benfica,25, AM(CLR),FW,18(9),1400,0.5,0.3,0.6,-,0.1,0.3,-,-,6.74
128,Rafael Ramos Santa Clara,26, D(R),,29(1),2561,2.2,1.2,1.4,0.4,1.5,0.9,0.1,-,6.73
129,Lucas Possignolo Portimonense,27, D(C),,29,2419,1.3,1.4,1.2,0.4,3.8,0.5,0.8,2,6.73
130,Chancel Mbemba Porto,27, D(CLR),DMC,27,2353,0.9,0.8,0.5,0.5,2.8,0.4,0.5,-,6.73
131,Filipe Augusto Rio Ave,28, DMC,,23(2),2028,2.3,1.5,2.8,0.1,1.0,1.4,0.4,1,6.72
132,Lourency Gil Vicente,25, AM(LR),,27(7),2323,1.0,0.6,0.8,-,0.3,1.1,0.1,-,6.72
133,Yanis Hamache Boavista,22, D(L),M(L),13(11),1203,1.2,0.9,1.1,0.1,1.4,0.6,-,-,6.72
134,Jovane Cabral Sporting,23, AM(CLR),,6(18),677,0.5,0.2,0.9,-,0.1,0.5,-,-,6.72
135,Miguel Cardoso Belenenses SAD,27, AM(CLR),FW,30,2532,0.6,0.1,1.3,-,0.3,0.6,-,-,6.72
136,Pepelu Vitoria de Guimaraes,23, DMC,,26(4),2392,1.6,1.8,2.5,-,1.6,1,0.3,-,6.72
137,Morato Benfica,20, D(C),,1(1),91,2.0,-,1.0,-,1.5,-,0.5,-,6.72
138,Fábio Cardoso Santa Clara,27, D(C),,28,2504,0.5,1.3,1.6,0.3,3.9,0.3,0.9,-,6.71
139,Raúl Silva Braga,32, D(C),,13(2),1019,1.7,1.1,1.5,0.7,2.5,0.9,0.1,-,6.71
140,Jonatan Lucca Farense,27, M(C),,21(4),1858,1,1.2,1.2,-,0.5,0.8,0.2,-,6.71
141,Joel Pereira Gil Vicente,25, D(R),M(R),28(4),2532,1.2,1.4,0.6,0.2,1.3,0.5,0.1,-,6.71
