,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
183,Jackson Yueill San Jose,24, M(C),,29(3),2668,1.2,0.4,0.8,-,0.8,0.8,0.2,-,6.77
184,Jesús Ferreira FC Dallas,20, AM(C),FW,30(4),2532,1.1,0.7,0.8,-,0.6,0.7,-,-,6.77
185,Alexander Callens New York City FC,29, D(C),,25,2250,1.9,1.8,1.1,1,3.5,0.8,0.3,-,6.77
186,Forrest Lasso FC Cincinnati,28, Defender,,4(1),393,0.8,1.6,0.8,1,5.0,0.2,1.4,-,6.76
187,Lamine Sané Orlando City,34, D(C),M(C),25(1),2274,0.8,1.9,0.5,0.5,4.3,0.3,0.5,-,6.76
188,Leonardo Jara DC United,30, D(R),DMC,25(6),2308,1.8,0.8,0.9,0.1,1.4,1.9,0.3,-,6.76
189,Brandon Servania FC Dallas,22, DMC,,14(5),1228,1.4,0.9,1.1,0.1,0.4,0.8,0.1,-,6.76
190,Favio Álvarez L.A. Galaxy,28, AM(CL),,16(3),1284,1.5,0.3,0.8,0.1,0.2,1.1,0.1,-,6.76
191,Jeremy Ebobisse Portland,24, AM(LR),FW,26(9),2376,0.4,0.3,0.7,-,0.6,0.3,0.1,-,6.76
192,Hassani Dotson Minnesota United,24, D(LR),M(CL),15(9),1404,1.8,1.0,0.7,0.1,1.3,0.8,0.4,-,6.75
193,Allan Cruz FC Cincinnati,25, M(CR),,21(1),1744,2.2,0.5,0.9,-,0.4,0.9,-,-,6.75
194,Kemar Lawrence New York,29, D(CL),,20(3),1849,2.2,1.3,0.7,0.3,3.0,0.3,0.5,-,6.75
195,Jonathan Lewis Colorado,24, AM(LR),FW,10(6),900,0.6,0.3,0.6,-,0.3,0.4,-,-,6.75
196,Diego Polenta L.A. Galaxy,29, D(CL),,30,2700,2.6,0.7,1.0,0.8,3.7,1.0,0.6,-,6.75
197,Daniel Steres L.A. Galaxy,31, D(C),,32,2795,0.8,1.3,0.6,0.8,3.9,0.4,0.9,-,6.75
198,Bill Tuiloma Portland,26, D(C),,22(4),2009,1.3,1.2,0.5,0.7,4.0,0.5,1,1,6.75
199,Keaton Parks New York City FC,24, DMC,,15(8),1377,1.9,0.3,1.3,-,0.9,1.0,0.1,-,6.74
200,Santiago Mosquera FC Dallas,26, AM(LR),,12(12),1214,0.9,0.2,0.5,-,0.3,0.5,-,-,6.74
201,Cody Cropper New England,28, GK,,7,630,0.1,-,-,-,1.4,0.4,-,-,6.74
202,Steven Beitashour Los Angeles FC,34, D(R),M(R),25(1),1941,1.8,1,1.1,0.1,1.6,0.6,0.2,-,6.74
203,Doneil Henry Vancouver,28, D(C),,24(1),2108,1.0,1.8,0.4,0.6,5.1,0.6,1.1,1,6.74
204,Bressan FC Dallas,28, D(CR),,13(6),1196,1.8,1.9,1.2,0.2,1.6,0.7,0.3,-,6.74
205,Robinho Columbus,26, AM(LR),,13(6),1115,2.0,0.7,0.9,-,0.1,1.1,-,-,6.74
206,Chris Wondolowski San Jose,38, AM(CR),FW,24(8),1986,0.3,0.1,0.5,-,0.6,0.2,-,-,6.74
207,Justen Glad Salt Lake,24, D(CR),,24,2154,0.8,1.3,0.9,0.5,4.6,0.4,0.7,-,6.74
208,Orji Okwonkwo Montreal,23, AM(LR),,24(4),1786,1.4,0.1,1.2,-,0.1,0.5,-,-,6.74
209,Jonathan Bornstein Chicago,37, D(CL),M(L),11,916,1.5,1.6,1,0.2,2.5,0.3,0.4,-,6.74
210,Brian Rodríguez Los Angeles FC,21, AM(LR),FW,7(2),498,0.4,0.1,0.7,-,-,1.3,-,-,6.73
211,Guram Kashia San Jose,34, D(C),,21(2),1905,2.4,1.9,1.0,0.2,2.8,1.1,0.5,-,6.73
212,Jonathan Osorio Toronto,29, M(CLR),,22(6),2134,1.3,0.5,0.6,-,0.4,0.6,-,-,6.73
213,Cory Burke Philadelphia,29, FW,,5(2),490,0.4,0.4,1.9,-,0.6,0.6,-,-,6.73
214,Sebastián Saucedo Salt Lake,24, AM(L),,13(14),1201,1.0,0.4,1.0,-,0.2,1.0,-,-,6.73
215,Nick DeLeon Toronto,31, D(LR),M(CLR),23(13),1996,1.4,0.5,0.8,0.1,0.6,0.6,0.1,-,6.73
216,Richie Laryea Toronto,26, D(LR),M(R),16(8),1578,1.7,1.0,0.6,0.2,0.7,0.5,0.3,-,6.73
217,Christian Ramírez Los Angeles FC,30, FW,,13(4),957,0.3,0.1,0.3,-,0.5,0.4,0.2,-,6.73
218,Juan Agudelo New England,28, M(CLR),FW,21(8),1962,1.4,0.7,1.6,0.1,0.7,0.8,0.2,-,6.73
219,Connor Maloney Columbus,26, D(L),,9(1),799,1.9,1.5,0.8,-,2.9,0.5,0.4,-,6.73
220,Eddie Segura Los Angeles FC,24, D(C),,35(1),3135,1.8,1.0,0.8,0.9,3.3,0.7,0.4,2,6.73
