,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
122,Nick Marsman Feyenoord,31, GK,,20(1),1801,-,0.1,-,-,0.6,-,-,-,6.81
123,Mark Diemers Feyenoord,28, M(CL),FW,23(6),1979,1.4,0.7,0.7,-,0.4,0.8,-,-,6.8
124,Jari Vlak FC Emmen,23, DMC,,15(2),1305,2.7,1.6,1.2,-,1.5,2,0.2,-,6.79
125,Piet Velthuizen Fortuna Sittard,35, GK,,2,113,-,-,-,-,1.5,-,-,-,6.79
126,Evert Linthorst VVV-Venlo,21, AM(C),,15(1),1309,2,1,1.7,0.1,1.3,1.7,0.3,-,6.79
127,Bryan Linssen Feyenoord,31, AM(CLR),FW,27(2),2051,1,0.4,1.4,-,0.2,0.7,-,-,6.79
128,Cyril Ngonge RKC Waalwijk,21, AM(R),,15(5),1180,1,0.5,0.7,-,0.2,1.2,-,-,6.78
129,Sebastian Polter Fortuna Sittard,30, AM(R),FW,31(1),2641,0.8,0.3,2.8,-,1.1,0.5,0.1,1,6.78
130,Alessio Da Cruz FC Groningen,24, AM(CLR),FW,18(4),1480,0.3,0.3,1.0,-,0.6,0.5,-,-,6.78
131,Armando Broja Vitesse,20, FW,,21(9),1875,0.4,0.1,0.8,-,0.2,0.3,-,-,6.78
132,Luka Adzic FC Emmen,23, AM(L),,12,819,0.9,0.5,0.8,-,0.4,1.2,-,-,6.78
133,Mitchell van Bergen SC Heerenveen,22, AM(LR),FW,32,2728,0.9,0.7,0.4,-,0.2,0.9,0.1,-,6.78
134,Mohamed Ihattaren PSV Eindhoven,19, AM(CLR),,13(9),1077,0.3,0.3,0.3,-,0.1,0.4,-,-,6.77
135,Sven van Beek Willem II,27, D(C),,13(1),1141,1.2,2.7,0.6,0.6,3.4,0.7,0.4,1,6.77
136,Matús Bero Vitesse,26, M(CLR),,26(1),2288,1.9,1.0,2.4,-,0.5,1.5,0.1,-,6.77
137,Dani de Wit AZ Alkmaar,23, AM(C),,12(8),1210,1.3,0.5,2.1,-,0.6,0.9,0.3,-,6.76
138,Jurgen Ekkelenkamp Ajax,21, AM(C),,4(11),651,0.7,0.5,0.3,-,0.1,0.6,0.2,-,6.76
139,Yuta Nakayama PEC Zwolle,24, D(CL),DMC,25(7),2361,1.6,1.1,1.0,0.2,2.3,0.6,0.6,-,6.76
140,Kik Pierie Twente,21, D(CL),,24,2112,1.5,2.3,1,1.1,4.9,0.7,0.8,-,6.76
141,Sven Mijnans Sparta Rotterdam,21, AM(R),,20(11),1674,1.6,0.9,0.8,-,0.6,0.9,-,-,6.76
142,Pol Llonch Willem II,29, DMC,,26(1),2226,3.9,1.4,1.5,-,1.1,2.3,0.2,-,6.75
143,Tesfaldet Tekie Fortuna Sittard,24, DMC,,31(2),2691,1.9,1.8,0.7,0.1,0.5,1.3,0.2,-,6.75
144,Jordan Teze PSV Eindhoven,22, D(CR),,31(2),2825,1.5,1,0.8,0.3,2.1,0.5,0.5,-,6.75
145,Gijs Smal Twente,24, D(L),,13(9),1369,2.1,1.1,0.6,-,1.3,1.1,0.1,-,6.75
146,Koen Bucker Heracles,25, Goalkeeper,,2,180,-,-,-,-,-,-,-,-,6.74
147,Joris van Overeem FC Utrecht,27, M(CLR),,29(1),2307,1.9,1.9,1.1,-,1.1,1.1,0.3,-,6.74
148,Adil Auassar Sparta Rotterdam,35, D(C),M(CL),29(1),2416,2.3,1.6,1.6,0.1,1.6,0.9,0.4,-,6.74
149,Ben Rienstra Fortuna Sittard,31, D(C),M(C),30,2593,1.6,1.4,0.7,0.2,2.2,0.5,0.2,-,6.73
150,Wouter Burger Sparta Rotterdam,20, AM(C),,9(9),759,1.5,1.6,0.5,0.1,0.7,0.9,0.1,-,6.73
151,Melle Meulensteen RKC Waalwijk,22, D(C),,33,2946,1.4,2,0.5,0.8,4.1,0.5,0.8,-,6.73
