,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
194,Erwin Mulder SC Heerenveen,32, GK,,34,3060,-,-,31.6,74.1,-,7.4,-,6.63
195,Tomás Suslov FC Groningen,19, AM(CR),,17(11),1492,5,1.2,12.9,76.5,0.3,1.3,-,6.63
196,Mark van der Maarel FC Utrecht,32, D(CLR),,19(6),1711,3,0.6,39.0,81.6,0.1,2.7,-,6.62
197,Marko Vejinovic ADO Den Haag,31, DMC,,14(3),1309,1,1.2,40.2,77.3,0.7,3.7,-,6.62
198,Anas Tahiri RKC Waalwijk,26, M(C),,33,2712,4,1.2,46.8,84.5,0.3,2.2,0.1,6.62
199,Luciano Narsingh Feyenoord,31, AM(LR),FW,3(6),393,1,0.9,12.3,86.5,0.4,0.1,-,6.62
200,Ramon Pascal Lundqvist FC Groningen,24, M(CL),,15(10),1392,2,0.9,18.1,75.1,0.7,1.0,-,6.62
201,Yvon Mvogo PSV Eindhoven,27, GK,,33,2970,-,-,23.3,80.6,-,4.4,-,6.62
202,Thijs Oosting RKC Waalwijk,21, FW,,15(2),1178,3,0.8,17.2,64.7,0.3,0.4,-,6.62
203,Remko Pasveer Vitesse,38, GK,,33,2970,-,0.1,39.6,65.5,-,9.1,-,6.62
204,Timo Letschert AZ Alkmaar,28, D(CLR),,16(4),1370,1,0.3,52.2,88.6,0.1,2.4,-,6.62
205,Godfried Roemeratoe Twente,22, DMC,,25(5),2218,-,0.5,36.5,82.2,-,1.7,-,6.61
206,Luuk Koopmans ADO Den Haag,27, GK,,19,1710,-,-,33.1,59.1,-,9.8,-,6.61
207,Wessel Dammers FC Groningen,26, D(C),,16(11),1583,1,0.1,39.3,82.6,-,4.7,-,6.61
208,Mica Pinto Sparta Rotterdam,28, D(L),,23(2),1920,2,1,30.7,73.7,0.7,1.8,-,6.61
209,Ismail Azzaoui Heracles,23, AM(CLR),,11(7),1075,2,0.6,18.2,72.2,0.1,0.5,0.1,6.6
210,Aaron Meijers Sparta Rotterdam,34, D(L),DMC,12(12),1124,4,0.6,18.4,67.1,0.3,1.3,-,6.6
211,Rami Kaib SC Heerenveen,24, D(L),,12(3),962,1,0.9,27.4,72.3,0.9,1.6,-,6.6
212,Sherel Floranus SC Heerenveen,23, D(LR),,26(3),2337,-,0.1,33.7,81.2,0.2,1.7,-,6.59
213,Luciano Narsingh Twente,31, AM(LR),FW,13(4),1132,5,1.1,15.6,69.2,0.9,0.1,-,6.58
214,Sam Kersten PEC Zwolle,23, D(C),,28,2399,-,0.4,58.5,86.6,-,4.1,-,6.58
215,Lars Nieuwpoort RKC Waalwijk,27, D(C),,2(1),193,-,0.3,20.3,78.7,-,1.7,-,6.58
216,Zinedine Machach VVV-Venlo,25, AM(C),,18(6),1478,5,0.9,26.0,73.4,0.5,0.5,-,6.58
217,Ola John RKC Waalwijk,29, AM(LR),,16(7),1070,2,1.0,14.7,73.9,0.7,1.2,-,6.58
218,Sinan Bakis Heracles,27, FW,,20(7),1648,-,0.4,15.6,71.8,-,0.3,-,6.58
