,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
137,Aaron Long New York,29, D(C),,12(1),1060,-,0.1,32.2,69.9,-,2.2,-,6.86
138,Henry Kessler New England,23, D(C),,18(1),1665,-,0.1,46.6,85.4,0.1,4.1,-,6.86
139,Kamal Miller Orlando City,24, D(CL),,9(3),806,-,0.1,45.1,83.5,-,2.8,-,6.86
140,Alexander Büttner New England,32, D(L),M(L),13(2),1082,3,1.7,34.6,79.6,2,2.9,-,6.86
141,Brian Rowe Orlando City,33, GK,,4,360,-,-,19.3,72.7,-,3.3,-,6.86
142,James Pantemis Montreal,24, GK,,3,270,-,-,30.0,80.0,-,5.3,-,6.85
143,Bryan Reynolds FC Dallas,20, D(R),,14(3),1267,3,0.9,31.6,80.9,0.9,1.2,-,6.85
144,Keaton Parks New York City FC,24, DMC,,19(1),1646,-,0.8,47.1,85.0,0.2,3.5,0.1,6.85
145,Ezequiel Barco Atlanta United,22, AM(CLR),FW,9(3),848,2,1.1,39.4,84.6,0.2,1.6,-,6.85
146,Mohamed El-Munir Los Angeles FC,29, D(L),M(L),4(5),524,1,1,38.2,77.6,0.9,1.4,0.1,6.85
147,Valentín Castellanos New York City FC,23, AM(R),FW,11(8),1076,2,0.9,14.9,69.3,-,0.4,0.1,6.85
148,Dax McCarty Nashville SC,34, DMC,,19(2),1679,3,1.1,49.6,86.6,-,3.2,0.1,6.85
149,Matt Hedges FC Dallas,31, D(C),,18(1),1539,-,0.2,50.6,85.2,0.1,4.5,0.1,6.85
150,Jonathan Osorio Toronto,29, M(CLR),,17,1409,2,0.9,61.1,90.8,0.1,1.6,0.1,6.85
151,Jonathan Mensah Columbus,31, D(CR),,20,1800,-,-,61.1,87.6,-,5.6,-,6.84
152,Michael Boxall Minnesota United,33, D(C),,16,1440,-,0.1,37.1,86.3,-,2.5,-,6.83
153,Bill Tuiloma Portland,26, D(C),,7(2),632,-,0.4,39.2,80.5,-,3.9,-,6.82
154,Franco Escobar Atlanta United,26, D(CR),,13,1126,1,0.2,54.7,83.4,0.2,5.5,-,6.82
155,Wilfried Zahibo New England,28, DMC,,1(1),135,-,-,36.0,80.6,-,2.0,-,6.82
156,Richie Laryea Toronto,26, D(LR),M(R),13(4),1178,3,0.6,26.9,85.2,0.3,0.5,-,6.82
157,Matt Turner New England,27, GK,,19,1710,-,-,27.3,65.3,-,6.1,-,6.82
158,Kaku New York,26, AM(CLR),,10(3),900,2,2.1,36.5,71.9,1.2,1.5,0.2,6.82
159,Edison Flores DC United,27, AM(CLR),FW,9(2),748,3,1.5,23.8,79.4,1.2,1.3,-,6.81
160,Chris Mavinga Toronto,30, D(CL),,14(2),1276,1,0.1,44.2,89.5,-,2.4,-,6.81
161,Clément Diop Montreal,28, GK,,17,1530,-,-,25.2,73.6,-,4.0,-,6.81
162,Alexander Callens New York City FC,29, D(C),,19,1666,-,0.1,54.5,84.3,-,3.3,-,6.8
163,Steve Clark Portland,35, GK,,17,1530,-,-,34.2,69.4,-,7.6,-,6.8
164,Frédéric Brillant DC United,36, D(C),,15(1),1413,-,0.1,45.4,82.4,-,3.1,-,6.8
165,Mark-Anthony Kaye Los Angeles FC,26, M(C),,12(1),856,4,1.2,42.0,84.6,-,1.6,0.1,6.8
166,Julio Cascante Portland,28, D(C),,4(1),405,-,0.4,28.6,75.5,-,3.8,-,6.8
167,Magnus Eriksson San Jose,31, AM(CR),,2,180,-,1,77.5,82.6,0.5,9.0,-,6.8
168,Júnior Urso Orlando City,32, M(CR),,17(3),1538,1,0.6,36.3,87.9,-,2.3,0.1,6.8
169,Zdenek Ondrasek FC Dallas,32, FW,,4(1),312,1,0.6,14.0,65.7,-,0.2,-,6.79
170,Chase Gasper Minnesota United,25, D(L),,13(2),1221,1,0.7,37.9,81.3,0.4,1.3,-,6.79
171,Auston Trusty Colorado,23, D(C),,5(2),498,1,0.3,47.4,88.0,-,2.1,-,6.79
172,Maximiliano Urruti Montreal,30, AM(C),FW,7(5),685,-,0.8,11.6,76.3,0.8,0.5,-,6.79
173,George Bello Atlanta United,19, D(L),M(L),17(1),1507,1,0.4,38.2,86.8,0.3,1.4,-,6.79
174,Jorge Villafaña Portland,32, D(L),M(L),15(1),1369,5,0.6,38.9,77.2,0.7,1.4,-,6.79
175,Joe Willis Nashville SC,33, GK,,23,2070,-,-,23.8,56.5,-,5.5,-,6.78
176,Gustav Svensson Seattle,34, D(C),DMC,7(1),611,-,0.1,52.4,88.8,0.1,4.8,0.1,6.78
177,Raymon Gaddis Philadelphia,31, D(LR),,12,1002,1,0.5,32.6,80.8,0.3,1.4,-,6.78
178,Haris Medunjanin FC Cincinnati,36, M(C),,16(2),1486,1,2.2,69.3,86.5,1.8,5.7,-,6.78
179,Nouhou Tolo Seattle,24, D(CL),,12(6),1066,1,0.3,29.6,84.6,0.3,1.1,-,6.78
180,Tyler Miller Minnesota United,28, GK,,2,180,-,-,29.0,51.7,-,10.5,-,6.78
181,Fafà Picault FC Dallas,30, AM(LR),FW,11(7),1040,1,0.8,17.4,79.6,0.6,0.5,-,6.77
182,DeJuan Jones New England,24, D(LR),,12(4),1037,-,1.1,35.6,76.3,0.6,1.8,-,6.77
183,Amadou Dia Kansas City,28, D(L),,9(1),823,1,0.7,35.9,75.2,0.6,1.5,-,6.77
184,Reto Ziegler FC Dallas,35, D(CL),M(L),17(2),1529,1,0.8,52.8,86.5,1,3.5,-,6.76
185,Brooks Lennon Atlanta United,24, D(R),M(R),16(4),1483,3,1.1,29.7,81.8,1.6,0.9,-,6.76
186,Daniel Royer New York,31, AM(CLR),FW,12(5),1105,2,0.5,22.5,75.4,0.3,0.4,-,6.76
187,Matthew Freese Philadelphia,23, GK,,1,90,-,-,23.0,30.4,-,7.0,-,6.76
188,Kelvin Leerdam Seattle,31, D(CLR),DMC,15(2),1241,1,0.9,35.1,81.2,0.5,1.9,0.1,6.76
189,Danny Wilson Colorado,29, D(C),DMC,8,681,-,0.4,60.0,77.5,-,7.5,-,6.76
190,Sam Vines Colorado,22, D(L),,15,1350,3,0.8,41.2,85.8,0.3,1.4,-,6.76
191,Tom Pettersson FC Cincinnati,31, D(C),DMC,11(1),944,-,0.1,51.8,88.9,-,3.6,-,6.76
192,Jeremy Ebobisse Portland,24, AM(LR),FW,9(6),881,2,0.6,16.5,71.0,-,0.8,0.1,6.76
193,Brandon Bye New England,25, D(LR),,15(4),1366,1,0.8,32.1,71.9,0.6,1.0,-,6.76
194,Mauricio Pineda Chicago,24, D(C),DMC,20,1785,1,0.1,56.2,87.5,0.1,4.5,-,6.76
195,Alistair Johnston Nashville SC,23, D(R),M(R),15(3),1366,-,0.8,32.9,79.6,0.6,1.4,-,6.75
196,Adam Buksa New England,25, FW,,13(7),1247,1,0.6,12.5,69.9,0.1,0.4,-,6.75
197,Auro Toronto,25, D(LR),M(CR),14(1),1232,-,0.9,57.6,85.9,0.6,2.2,0.1,6.75
198,Justin Meram Salt Lake,32, M(CLR),FW,12(6),1018,3,0.8,22.2,74.5,0.1,0.4,0.1,6.75
199,Oriol Rosell Orlando City,29, DMC,,5,340,-,0.2,46.6,91.0,-,3.4,-,6.75
200,Winston Reid Kansas City,33, D(C),,8(2),728,-,0.1,33.6,82.7,-,3.2,-,6.75
201,Memo Rodríguez Houston,25, AM(CLR),,17(1),1399,2,1.7,27.2,82.0,1.3,1.8,0.1,6.75
202,Ignacio Aliseda Chicago,21, AM(CL),FW,15(3),1342,2,0.9,19.7,86.8,0.2,0.6,0.1,6.75
203,Julian Gressel DC United,27, D(R),M(CR),16(3),1483,3,1.9,37.3,69.3,1.8,3.9,-,6.75
204,Eloy Room Columbus,32, GK,,15,1331,-,-,23.1,74.0,-,5.6,-,6.74
205,Bradley Wright-Phillips Los Angeles FC,36, FW,,11(4),885,4,0.6,10.1,75.0,-,0.1,-,6.74
206,Marcos López San Jose,21, D(L),,11(2),990,1,1.1,37.8,75.4,0.8,3.1,-,6.74
207,Jacori Hayes Minnesota United,26, M(C),,6(5),602,1,0.6,27.8,86.3,-,1.5,0.2,6.74
208,Emiliano Insúa L.A. Galaxy,32, D(CL),M(L),18,1557,2,0.9,32.5,82.9,0.7,1.6,0.1,6.74
209,Steven Birnbaum DC United,30, D(C),,7,630,-,-,53.1,84.7,0.1,3.4,-,6.73
210,Graham Zusi Kansas City,35, D(R),M(CLR),11(1),954,1,1.2,47.7,81.8,0.6,4.0,0.2,6.73
211,Maikel Chang Salt Lake,30, AM(LR),,12(5),1074,4,2,20.8,73.4,0.9,1.4,-,6.73
212,Lee Nguyen New England,35, M(CLR),FW,8(4),722,1,2.1,36.1,86.1,1.5,1.8,-,6.73
213,Roger Espinoza Kansas City,35, M(CL),,9(4),714,1,0.5,24.9,83.0,0.1,1.8,-,6.73
214,Rod Fanni Montreal,39, D(CR),,8(1),724,-,0.2,39.0,86.0,-,2.8,-,6.73
215,Brent Kallman Minnesota United,31, D(C),,3(1),271,-,-,27.0,80.6,-,2.0,-,6.73
216,Víctor Cabrera Houston,28, D(C),,7,561,-,0.1,55.0,83.1,-,4.1,-,6.72
217,Ethan Finlay Minnesota United,31, AM(R),,9(2),721,2,1,14.1,76.1,0.6,0.1,-,6.72
218,Larrys Mabiala Portland,34, D(C),,13(2),1132,-,0.1,40.0,85.2,-,3.3,-,6.72
219,Pedro Gallese Orlando City,31, GK,,16,1440,-,-,20.4,71.5,-,4.7,-,6.71
220,Bressan FC Dallas,28, D(CR),,11(7),1167,1,0.1,43.8,86.9,-,3.1,-,6.71
221,Gonzalo Higuaín Inter Miami CF,33, FW,,9,804,2,1.3,30.8,81.9,0.1,3.3,0.1,6.71
222,Jacob Akanyirige San Jose,19, Defender,,1,69,-,-,34.0,85.3,-,1.0,-,6.71
223,Roberto Puncec Kansas City,30, D(C),,15(2),1405,1,0.1,42.8,87.3,-,3.5,-,6.71
224,Jaroslaw Niezgoda Portland,26, FW,,6(8),515,1,0.3,7.9,68.2,-,0.1,-,6.71
225,Jon Gallagher Atlanta United,25, AM(L),FW,11(4),937,-,0.8,14.9,72.6,1.1,0.4,-,6.7
226,Marcelo Silva Salt Lake,32, D(C),,13,1129,-,0.2,42.8,86.9,-,1.5,-,6.7
227,Diego Palacios Los Angeles FC,22, D(L),M(L),12(1),1017,-,0.8,41.8,85.7,0.8,0.8,-,6.7
228,Justen Glad Salt Lake,24, D(CR),,11(3),1014,-,0.1,41.4,81.3,0.3,2.9,-,6.7
229,Sean Nealis New York,24, D(C),,5(1),453,-,0.2,31.7,82.1,-,1.3,-,6.7
230,Tim Melia Kansas City,35, GK,,18,1620,-,0.1,26.1,67.2,-,5.9,-,6.69
231,Aljaz Ivacic Portland,27, GK,,2,180,-,-,32.0,60.9,-,5.5,-,6.69
232,Yamil Asad DC United,27, AM(CL),,16(4),1391,2,0.7,33.8,79.0,0.5,1.7,-,6.69
233,Franco Jara FC Dallas,33, FW,,16(3),1389,-,0.8,15.2,77.9,0.1,0.3,0.1,6.69
234,Dave Romney Nashville SC,28, D(CLR),,23,2070,1,0.3,44.2,84.4,-,3.0,-,6.69
235,Luis Martins Kansas City,29, D(L),,6(2),527,1,1,37.1,78.8,0.4,2.4,-,6.69
236,Milton Valenzuela Columbus,23, D(L),,16(2),1404,2,0.7,40.3,79.3,0.5,1.8,-,6.68
237,Darwin Cerén Houston,31, M(C),,18(1),1511,2,0.7,42.3,84.6,0.1,3.5,-,6.68
