,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
139,6.75,Florent Hanin Vitoria de Guimaraes,31, D(L),26(2),2340,1,2,0.3,1.2,0.7,0.6,0.3,0.3,1.2
140,6.74,Lincoln Santa Clara,23, AM(C),22(8),1999,1,6,0.7,1.5,0.4,1.9,0.1,0.8,1.3
141,6.74,Pedrinho Pacos de Ferreira,28, M(CR),33,2799,2,2,1.4,1.8,0.3,1.5,-,0.8,1.5
142,6.74,Tiago Castro Vitoria de Setubal,25, Midfielder,1,70,-,-,-,-,-,3.0,-,-,-
143,6.74,Mateus Pasinato Moreirense,29, GK,33,2970,-,1,-,-,0.1,0.2,-,-,0.1
144,6.74,Hervé Koffi Belenenses SAD,25, GK,20,1740,-,-,-,-,0.1,0.2,-,-,0.1
145,6.74,Bruno Santos Pacos de Ferreira,28, D(R),19(3),1784,3,1,1.4,0.6,0.8,1.9,-,0.8,1
146,6.73,Pablo Santos Braga,29, D(C),9(1),855,-,-,1.1,0.3,0.1,0.8,0.1,0.1,0.2
147,6.73,Silvestre Varela Belenenses SAD,36, M(CLR),18(3),1573,3,1,1.4,0.9,1.6,1.8,0.2,2.2,2.1
148,6.73,Carlos Mané Rio Ave,27, AM(LR),13(19),1537,1,6,0.4,1.1,1.4,1.0,0.2,0.7,1.1
149,6.73,Rodrigo Pinho Maritimo,30, FW,18(9),1635,9,-,1.8,0.4,0.9,1.6,0.4,0.9,1.7
150,6.73,Pedro Henrique Vitoria de Guimaraes,28, D(C),20(4),1932,-,-,0.5,0.1,0.1,0.3,-,0.1,0.3
151,6.72,Pêpê Vitoria de Guimaraes,24, M(C),22(9),1937,3,-,1.2,1.1,0.6,0.7,0.1,0.6,0.7
152,6.72,Steven Vitória Moreirense,34, D(C),16(3),1536,5,-,0.9,0.1,0.1,0.5,-,-,0.2
153,6.72,Adi Mehremic Aves,29, D(C),8,703,1,-,0.4,0.3,0.3,1.3,-,-,0.3
154,6.72,Bruno Xadas Braga,23, AM(CLR),0(1),24,-,-,1.0,1.0,-,-,-,1,1.0
155,6.72,Luiz Phellype Sporting,28, FW,12(4),1011,6,1,1.4,0.3,0.3,1.2,0.4,1.1,1.1
156,6.71,Frederico Venâncio Vitoria de Guimaraes,28, D(C),20,1793,-,-,0.5,0.4,0.1,0.3,-,0.2,0.2
157,6.71,Artur Jorge Vitoria de Setubal,27, D(C),29(1),2574,-,1,0.3,0.1,0.1,0.4,-,-,0.2
158,6.71,Tomás Tavares Benfica,20, D(R),9(3),876,-,-,0.1,0.4,0.8,0.7,0.2,0.3,1.9
159,6.71,Matheus Nunes Sporting,23, M(C),9(1),722,-,-,0.4,0.4,1.3,2,-,1.5,0.9
160,6.71,Fabiano Boavista,29, D(CR),26(1),2231,-,2,0.3,0.4,0.4,0.6,-,0.6,0.4
161,6.71,Helton Leite Boavista,31, GK,21,1890,-,-,-,-,-,0.2,-,-,0.1
162,6.7,Yohan Tavares Tondela,33, D(C),28(1),2513,3,-,0.2,0.1,0.1,0.2,-,0.1,0.2
163,6.7,Bruno Wilson Tondela,24, D(C),15,1228,2,-,0.5,0.1,0.1,0.5,-,0.1,0.3
164,6.7,Riccieli Famalicao,23, D(C),17(8),1727,1,-,0.5,0.2,0.1,0.5,-,-,0.3
165,6.7,César Martins Santa Clara,28, D(C),11(3),1015,1,-,0.4,0.1,0.4,0.4,0.1,0.2,0.3
166,6.7,Bruno Teles Pacos de Ferreira,35, D(L),17,1473,-,1,0.5,1.2,0.6,0.9,-,0.4,0.5
167,6.7,Gonçalo Silva Belenenses SAD,30, D(CR),18,1525,-,1,0.3,0.3,0.3,0.3,-,-,0.6
168,6.69,Jadson Portimonense,30, D(C),28(3),2543,3,-,0.4,0.2,0.2,0.4,0.1,0.2,0.2
169,6.69,Tiago Esgaio Belenenses SAD,26, D(CR),26(2),2243,2,2,0.5,0.5,0.4,1.0,-,0.5,0.6
170,6.68,Dejan Kerkez Maritimo,25, D(C),15(1),1338,-,-,0.3,0.1,-,0.2,-,0.2,0.2
171,6.68,Uros Racic Famalicao,23, DMC,26(7),2421,3,1,0.8,1,0.8,1.6,-,1,1.8
172,6.68,José Semedo Vitoria de Setubal,36, D(C),29,2590,1,-,0.3,0.3,0.3,1.4,-,0.4,0.7
173,6.68,Toni Borevkovic Rio Ave,24, D(C),31(1),2788,-,-,0.1,0.1,0.2,0.7,-,0.1,0.2
174,6.68,Brian Mansilla Vitoria de Setubal,24, AM(CL),22(7),1907,-,1,1.4,0.6,2.3,1.0,0.4,1.8,2.4
175,6.68,Pedro Amador Braga,22, D(L),7(2),622,-,-,0.3,1.1,0.8,0.4,-,0.3,0.9
176,6.68,Renan Ribeiro Sporting,31, GK,11,990,-,-,-,-,0.2,0.1,-,-,-
177,6.68,Diogo Viana Braga,31, D(R),6,451,-,-,-,0.8,1.2,1.2,0.2,0.5,1.2
178,6.67,Rodrigão Gil Vicente,26, D(C),17,1530,2,2,0.8,0.2,0.2,0.4,-,0.4,0.2
179,6.67,Paulinho Portimonense,27, AM(CR),1(1),115,-,-,3,0.5,1,0.5,-,3.5,2.5
180,6.67,Gustavo Sauer Boavista,28, M(CLR),23(5),2002,1,-,1.1,0.6,1.1,1.8,0.1,1.1,1.5
181,6.67,Bruno Xadas Maritimo,23, AM(CLR),9(3),766,1,-,1.8,1.7,1.0,1.4,0.3,0.8,1.7
182,6.67,Tarantini Rio Ave,38, M(C),28(3),2412,3,-,0.8,0.3,0.3,1.2,0.1,0.4,0.7
183,6.67,Matija Ljujic Belenenses SAD,28, AM(C),4(1),357,-,1,1.6,0.4,1.2,1.0,0.2,0.6,0.6
184,6.66,Mehrdad Mohammadi Aves,28, FW,27(1),2330,8,5,2,0.8,1.3,1.2,1,1.1,3.4
185,6.66,Nehuen Pérez Famalicao,21, D(C),23,2017,1,-,0.4,0.2,0.2,0.3,-,0.1,0.3
186,6.66,David Carmo Braga,22, D(C),16(2),1473,-,-,0.4,0.1,0.2,0.3,-,-,0.3
187,6.66,Marko Petkovic Tondela,29, D(R),6(1),461,-,-,-,0.3,0.1,0.3,-,0.3,0.7
188,6.65,Zaidu Sanusi Santa Clara,24, D(L),21(3),1849,1,2,0.8,0.7,0.9,0.7,0.5,0.8,1.6
189,6.65,Anthony D'Alberto Moreirense,27, D(LR),10(3),989,-,2,-,0.4,0.6,0.5,-,0.5,0.9
190,6.64,Jackson Martínez Portimonense,35, FW,18(6),1628,1,-,2.3,0.7,0.8,1.8,0.3,0.8,1.6
191,6.64,Stefan Ristovski Sporting,29, D(R),19(2),1552,-,2,0.4,0.8,0.2,1.0,0.6,0.3,0.6
192,6.64,Matheus Braga,29, GK,29,2610,-,-,-,-,0.1,0.3,-,-,-
193,6.64,Lucas Boavista,31, D(C),8(4),779,2,-,0.6,-,-,0.3,-,0.1,0.1
194,6.64,Júnior Tavares Portimonense,25, D(L),13(2),1156,1,-,0.7,0.9,0.6,1.5,0.3,1.1,1.2
195,6.64,Gustavo Assunção Famalicao,21, DMC,27(3),2430,-,-,0.2,0.4,0.7,1.5,-,0.5,0.6
196,6.64,William Soares Gil Vicente,32, DMC,32(1),2812,-,1,0.4,0.4,0.5,1.4,-,0.4,1.1
197,6.64,Chima Akas Belenenses SAD,27, D(CL),14(1),1294,-,1,0.4,0.5,0.2,0.2,-,0.3,0.7
198,6.64,Bozhidar Kraev Gil Vicente,24, AM(C),28(4),2267,8,1,1.4,0.7,0.8,1.4,0.2,1.3,1.9
199,6.64,Bracali Boavista,40, GK,13,1170,-,-,-,0.2,-,0.5,-,-,-
200,6.63,Nuno Coelho Belenenses SAD,33, D(C),32,2761,-,-,0.3,0.3,-,1.1,0.1,0.1,-
201,6.63,Gabrielzinho Moreirense,25, AM(LR),13(2),966,2,2,0.7,0.4,1.5,1.3,0.1,1.9,2.1
202,6.63,Lucas Fernandes Portimonense,24, M(CL),23(4),2018,2,1,1.1,0.7,1.2,1.9,0.1,1.1,1.5
203,6.63,Filipe Soares Moreirense,22, AM(C),31(2),2614,4,4,0.8,0.8,1.5,1.2,-,1.2,1.6
204,6.62,Diogo Figueiras Rio Ave,30, D(LR),18,1386,-,2,0.3,0.9,0.8,0.8,0.1,0.5,1.3
205,6.62,Djavan Moreirense,33, D(L),8(2),642,-,-,-,0.5,0.5,1.1,-,0.7,0.9
206,6.62,Rafa Soares Vitoria de Guimaraes,26, D(L),8(2),724,-,1,1.1,1.4,-,0.3,0.2,0.5,1
207,6.62,Paulinho Boavista,24, M(CLR),20(4),1839,-,2,1,1.2,2.1,3.2,0.1,1.8,2.3
208,6.62,Fabiano Braga,21, M(R),0(2),90,-,-,0.5,-,-,0.5,-,-,1
209,6.62,André Horta Braga,25, M(C),21(4),1603,-,2,0.7,0.9,0.6,0.8,0.1,0.5,0.9
210,6.62,Marlon Boavista,24, D(L),23(4),1965,2,2,0.8,0.8,0.5,0.8,-,0.5,1
211,6.62,Shuichi Gonda Portimonense,32, GK,14,1260,-,-,-,-,0.1,0.1,-,-,0.1
212,6.61,Lucas Possignolo Portimonense,27, D(C),26,2337,2,-,0.6,0.2,-,0.5,-,-,0.3
213,6.61,Lourency Gil Vicente,25, AM(LR),21(10),1964,4,2,2,0.7,1.3,1.3,0.3,1.5,2
214,6.61,Jubal Vitoria de Setubal,28, D(C),20(4),1876,2,-,0.5,0.1,0.1,0.6,0.1,0.1,0.5
215,6.61,Bueno Boavista,33, AM(CL),14(5),1207,3,3,1.3,1.1,0.7,1.8,0.1,0.9,1.4
216,6.61,Edwin Banguera Gil Vicente,25, D(L),7(2),637,-,1,0.4,0.2,0.1,0.9,-,-,1.1
217,6.61,Claudio Falcão Aves,27, D(C),26,2227,-,1,0.7,0.4,0.8,0.5,-,0.5,0.9
218,6.61,Fábio Aves,31, GK,6,540,-,-,-,-,-,0.2,-,-,-
219,6.61,Tiago Ilori Sporting,28, D(C),6(2),558,-,-,0.6,0.3,0.1,-,-,-,0.3
220,6.6,Eduardo Kau Belenenses SAD,22, Defender,2(1),202,-,-,-,0.3,0.3,-,-,-,0.3
221,6.6,Arthur Henrique Gil Vicente,27, M(L),14(4),1024,-,-,0.1,1,1.1,0.8,0.1,1.1,1.3
222,6.6,Marcelo Pacos de Ferreira,32, D(C),14(1),1242,-,1,0.7,0.3,0.1,0.9,-,0.2,0.1
223,6.6,Cláudio Ramos Tondela,30, GK,29,2610,-,-,-,-,-,0.2,-,-,-
