,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
193,6.69,Bart Nieuwkoop Willem II,25, D(R),11(6),1042,-,-,0.1,0.4,0.5,0.5,0.2,0.5,1.1
194,6.69,Mark van der Maarel FC Utrecht,32, D(CLR),16(1),1429,-,-,0.6,0.1,0.4,0.4,-,0.1,0.6
195,6.69,Tobias Pachonik VVV-Venlo,26, D(R),26,2314,1,3,0.3,1,1,0.7,-,0.3,1.4
196,6.69,Carel Eiting Ajax,23, DMC,3(3),360,-,-,1.3,1.3,0.7,0.2,-,0.5,0.8
197,6.69,Ramon Leeuwin AZ Alkmaar,34, D(C),4(1),364,-,-,-,-,0.2,0.6,-,-,-
198,6.69,Branislav Ninaj Fortuna Sittard,27, D(C),24,2131,-,-,0.5,0.3,0.5,0.5,-,0.4,0.4
199,6.68,Julio Pleguezuelo Twente,24, D(CR),16(3),1509,-,-,0.2,0.3,0.7,1.3,-,0.2,0.6
200,6.68,Paul Quasten RKC Waalwijk,36, D(L),11(2),978,1,1,0.4,0.5,1,1.6,-,0.7,1.5
201,6.68,Lex Immers ADO Den Haag,35, AM(C),22(1),1955,2,1,1,0.7,0.4,1,0.3,1,1.3
202,6.68,Xavier Mous PEC Zwolle,26, GK,13,1170,-,-,-,-,-,0.1,-,-,-
203,6.68,Tom Beugelsdijk ADO Den Haag,31, D(C),18(1),1615,1,1,0.6,0.4,0.5,0.8,0.1,0.3,0.6
204,6.68,Sam Stubbs ADO Den Haag,22, D(C),8,720,-,-,0.3,0.1,0.3,0.5,-,0.3,1.3
205,6.67,Ahmed El Messaoudi FC Groningen,26, M(CR),15(5),1375,1,3,1.5,0.7,1.2,1.2,0.1,1.2,2.3
206,6.67,Maarten Paes FC Utrecht,23, GK,18,1620,-,-,-,-,-,0.1,-,-,-
207,6.66,Hannes Delcroix RKC Waalwijk,22, D(C),23,2058,1,1,0.3,0.2,0.3,0.2,-,0.5,0.3
208,6.66,Aleksandar Bjelica ADO Den Haag,27, Defender,0(2),48,-,-,0.5,1,1,-,-,0.5,1
209,6.66,Edson Álvarez Ajax,24, D(C),6(6),558,-,-,0.5,0.4,0.8,0.3,0.1,0.3,1
210,6.66,Peet Bijen Twente,26, D(C),18(2),1703,1,-,0.4,0.1,-,0.5,0.2,0.1,0.2
211,6.66,Lutsharel Geertruida Feyenoord,21, D(R),11(6),1045,-,-,0.2,0.5,0.7,0.9,0.1,0.4,1.0
212,6.65,Keziah Veendorp FC Emmen,24, D(C),14(5),1389,1,-,0.4,0.1,0.4,0.2,0.1,0.1,0.4
213,6.65,Lassina Traoré Ajax,20, FW,3(6),344,2,2,1.3,0.6,0.1,0.4,0.3,0.3,1.3
214,6.65,Razvan Marin Ajax,25, DMC,5(5),503,-,-,1.0,0.9,0.8,0.6,-,0.8,0.8
215,6.65,Hirving Lozano PSV Eindhoven,26, AM(LR),1,50,-,-,3.0,1,1,1,1,3,3.0
216,6.65,Ko Itakura FC Groningen,24, D(C),18(4),1669,-,-,0.4,0.1,0.1,0.2,-,0.2,0.4
