,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
508,Felipe Gremio,22, Defender,,1,90,-,-,35.0,74.3,-,-,-,6.39
509,Renê Júnior Corinthians,32, DMC,,0(1),28,-,-,14.0,64.3,-,-,-,6.39
510,Ricardo Oliveira Atletico MG,41, FW,,15(6),1164,2,0.6,10.3,80.6,-,-,-,6.38
511,Leonardo Valencia Botafogo RJ,30, AM(CL),,9(12),942,1,0.7,16.6,74.8,0.7,0.7,-,6.38
512,Ramón Martínez Atletico MG,25, DMC,,8(3),659,-,0.3,30.7,84.6,-,0.6,-,6.38
513,Matheus Barbosa Avai FC,27, DMC,,14(4),1084,1,0.8,27.0,77.0,0.1,1.4,0.1,6.38
514,Feliciano Brizuela Avai FC,25, Midfielder,,1(3),171,-,-,10.3,65.9,-,-,-,6.38
515,Ezequiel Bahia,28, D(R),,5(1),444,-,-,29.7,74.2,0.2,1.2,-,6.37
516,Mayke Palmeiras,29, D(R),,5(1),391,-,0.3,27.3,86.0,0.2,1.3,-,6.37
517,Marcos Vinícius Botafogo RJ,26, AM(CL),,1(4),108,-,-,7.6,86.8,-,1,0.2,6.37
518,Lucas Campos Botafogo RJ,24, Midfielder,,3(7),369,-,0.3,11.2,83.9,-,0.3,-,6.37
519,Jailson Palmeiras,40, GK,,4,360,-,-,12.0,83.3,-,1.8,-,6.37
520,Marlone Goias,29, AM(CLR),,4(12),586,-,0.4,16.3,88.1,0.1,1.2,-,6.37
521,Luanzinho Avai FC,21, AM(L),,4(13),595,1,0.4,15.8,82.5,0.2,0.5,-,6.36
522,Madson CS Alagoano,35, Midfielder,,4(2),357,-,1,14.7,85.2,0.5,0.2,-,6.36
523,Shaylon Bahia,24, D(R),M(CR),1(7),186,-,0.8,11.3,82.2,0.4,0.5,-,6.36
524,Felipe Pires Fortaleza,26, AM(LR),,5(6),539,1,0.7,16.0,79.0,0.4,0.1,-,6.36
525,Jobson Santos FC,26, DMC,,1(3),121,-,-,23.3,87.1,-,0.8,-,6.36
526,Lucas Santos Vasco da Gama,22, Midfielder,,0(1),11,-,-,3.0,33.3,1,-,-,6.35
527,Rhuan Botafogo RJ,21, AM(L),,6(4),594,-,0.4,9.9,75.8,0.1,0.2,-,6.35
528,Bruno César Vasco da Gama,33, D(L),M(CLR),5(8),510,-,1.2,11.8,77.3,0.8,0.3,-,6.35
529,Lucas Silva Cruzeiro,28, DMC,,2(4),268,-,0.2,35.2,86.7,0.2,2.5,-,6.35
530,Pedrinho Athletico Paranaense,22, AM(CL),,1(5),126,-,0.5,8.0,72.9,0.2,0.2,-,6.34
531,Alejandro Guerra Bahia,36, AM(C),,8(9),697,2,0.8,19.8,81.0,0.2,0.6,0.1,6.34
532,Renato Kayzer Chapecoense AF,25, FW,,3(11),393,2,0.4,8.8,77.2,0.1,0.1,-,6.34
533,Igor Cássio Botafogo RJ,23, Forward,,6(6),633,-,0.5,11.4,67.2,0.1,0.1,-,6.34
534,Roger Carvalho Fortaleza,34, D(C),,12,987,-,-,41.1,86.4,-,2.7,-,6.34
535,João Lucas Flamengo,23, D(R),,2(4),216,-,-,14.8,75.3,0.2,0.7,-,6.34
