,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
184,6.81,Ernando Bahia,33, D(CLR),8,720,1,-,0.1,0.1,-,0.5,-,-,0.3
185,6.81,Heitor Rodrigues Internacional,21, D(R),20,1748,-,1,0.6,0.8,0.9,1.8,-,0.4,1.3
186,6.81,Filipe Luís Flamengo,36, D(L),15(1),1273,-,-,0.3,0.6,0.8,0.8,-,0.6,0.6
187,6.81,Clayson Corinthians,26, AM(LR),22(10),2016,3,7,1.1,1.3,1.5,1.7,0.1,1.3,2.5
188,6.81,Rafael Moura Goias,38, FW,19(4),1604,9,1,2.1,0.7,0.5,1.1,0.4,1.2,1.3
189,6.81,Isaque Gremio,24, AM(C),1(1),101,1,-,1.0,-,0.5,-,0.5,1,0.5
190,6.8,Zeca Internacional,27, D(LR),19(1),1701,-,-,0.3,0.8,1.2,0.3,-,0.5,0.6
191,6.8,Gabriel Costa Botafogo RJ,26, D(C),34,3003,1,1,0.4,0.1,0.1,0.8,-,0.1,0.2
192,6.8,Felipe Fortaleza,27, DMC,30,2665,-,1,0.6,0.8,1.1,1.1,-,0.7,1.1
193,6.8,Matheus Savio CS Alagoano,24, AM(L),7(1),653,1,-,2.1,1.4,1.5,1.0,0.3,0.5,1.5
194,6.8,Guga Atletico MG,23, D(R),18,1551,-,4,0.2,1.3,0.4,0.7,0.2,0.4,1.1
195,6.8,Gilberto Júnior Goias,33, DMC,18(2),1602,1,-,0.6,0.4,1.4,0.8,-,0.4,0.4
196,6.8,Gil Corinthians,34, D(C),29,2610,1,-,0.6,0.1,0.2,0.1,0.1,-,0.2
197,6.8,Anderson Martins Sao Paulo,34, D(C),10(1),897,-,-,0.1,-,0.4,0.1,-,0.2,0.2
198,6.8,Diego Souza Botafogo RJ,36, AM(CL),30(2),2628,7,1,1.3,1.1,0.9,1.9,0.3,0.8,1.3
199,6.8,Nino Fluminense,24, D(C),36,3239,1,1,0.4,0.3,0.4,0.7,-,0.2,0.3
200,6.8,Gabriel Dias Fortaleza,27, D(R),25(3),2212,2,2,0.4,0.4,0.1,1.3,0.1,0.2,0.8
201,6.8,Marcinho Fortaleza,26, AM(L),6(2),472,2,2,1.0,1.3,0.8,1.1,0.4,0.8,1.9
202,6.79,Igor Fernandes Avai FC,29, D(L),28,2432,-,-,0.6,0.9,1.1,0.9,0.1,0.6,1
203,6.79,Abner Athletico Paranaense,21, D(L),6(2),545,-,1,0.5,0.8,0.5,0.3,-,0.5,1.1
204,6.79,Húdson Sao Paulo,33, D(R),11(5),1046,1,1,0.4,0.6,0.5,0.7,0.1,0.3,0.5
205,6.79,Danilo Barcelos Vasco da Gama,30, D(L),18(3),1662,2,2,1.0,1.9,-,0.5,-,0.1,0.8
206,6.79,Gustavo Scarpa Palmeiras,27, D(L),19(8),1572,4,4,2.1,1.4,0.7,0.9,0.1,0.7,1.7
207,6.79,Rodrigo Caio Flamengo,28, D(CR),28(1),2419,2,-,1.0,0.1,0.1,0.4,-,0.1,0.2
208,6.78,Betão Avai FC,38, D(C),28,2493,-,-,0.1,0.3,0.5,1.1,-,0.1,0.4
209,6.78,Iago Maidana Atletico MG,25, D(C),7,630,1,-,0.7,0.1,0.1,0.7,-,-,-
210,6.78,Gustavo Campanharo Chapecoense AF,29, M(C),20(5),1607,2,1,1,1.1,1.3,1.5,-,0.8,1.1
211,6.78,Leo Cittadini Athletico Paranaense,27, M(CLR),16(5),1326,4,1,1.5,1.2,0.9,1.3,-,1.1,1.2
212,6.78,Thonny Anderson Athletico Paranaense,23, AM(C),16(7),1375,3,4,1.7,0.9,1.1,0.9,0.1,1.7,2.3
213,6.78,Danielzinho Fluminense,25, M(CR),28(2),2339,1,3,1.1,1.8,0.8,1.3,-,0.8,1.0
